"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name","dma2_name"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_1","CHICAGO-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_1","DETROIT-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_1","PHILADELPHIA-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_1","TRI-STATE-NY/NJ/CT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","ATLANTA-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","BALTIMORE-MD"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","BOSTON-MA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","CLEVELAND-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","COLUMBUS-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","DENVER-CO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","HARRISBURG/LANCASTER-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","MILWAUKEE-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","MINNEAPOLIS-MN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","NEW HAVEN/HARTFORD-CT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_2","ORLANDO/DAYTONA/MELBOURNE-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","CHAMPAIGN/SPRINGFIELD-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","DAYTON-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","FLAGSTAFF-AZ"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","FLINT/SAGINAW-BAY CITY-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","GRAND RAPIDS/KALAMAZOO-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","KANSAS CITY-KS / MO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","LOUISVILLE-KY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","PHOENIX-AZ"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","TOLEDO-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_3","WILKES-BARRE-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ALBANY-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ALPENA-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","BANGOR-ME"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","BINGHAMTON-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","BURLINGTON-PLATTSBURGH-VT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","CHARLESTON/HUNTINGTON-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","COLUMBIA-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","DAVENPORT-IA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","DULUTH-MN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ELMIRA-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ERIE-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","EVANSVILLE-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","FORT WAYNE-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","JOHNSTOWN/ALTOONA-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","LANSING/JACKSON-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","LIMA-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","MARQUETTE-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","MERIDIAN-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","PEORIA/BLOOMINGTON-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","PORTLAND-ME"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","QUINCY-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ROCHESTER-MN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ROCHESTER-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ROCKFORD-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","SALISBURY-MD"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","SPRINGFIELD-MA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","SPRINGFIELD-MO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","ST. GEORGE-UT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","SYRACUSE-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","TERRE HAUTE-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","UTICA-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","WATERTOWN-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","WAUSAU-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","1_4","YOUNGSTOWN-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_2","CINCINNATI-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_2","INDIANAPOLIS-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_2","PITTSBURGH-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_2","SACRAMENTO-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_2","ST. LOUIS-MO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_2","WASHINGTON D.C."
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","BUFFALO-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","CHARLOTTE-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","DES MOINES-IA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","GREEN BAY/APPLETON-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","GREENVILLE-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","LAS VEGAS-NV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","MADISON-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","MIAMI/FT. LAUDERDALE-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","NASHVILLE-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","2_3","NORFOLK-VA"
